                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2179,                0.66218,                  1.001,                0.86406,                0.61371,                0.70086,                0.40732,                 1.2051,                0.63682,                0.98995,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.2131,                0.65783,                0.99977,                0.86884,                0.61174,                0.70212,                0.40804,                 1.2046,                0.63557,                0.98965,              0.0004357,              0.0004357,              0.0004357
                     59,                  1.211,                0.65641,                0.99913,                0.86067,                0.61632,                0.70271,                0.40938,                 1.2036,                0.63462,                0.98934,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2075,                0.65581,                0.99747,                0.85456,                0.61932,                0.70235,                 0.4093,                 1.2028,                0.63332,                0.98906,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.2075,                0.65375,                0.99751,                0.85286,                0.62038,                0.70247,                 0.4092,                 1.2021,                0.63204,                0.98884,               0.000406,               0.000406,               0.000406
                     62,                 1.2028,                0.65071,                0.99616,                0.84916,                0.62804,                0.70307,                0.40979,                 1.2014,                0.63038,                0.98858,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2025,                0.65083,                0.99578,                0.84375,                0.63044,                0.70335,                0.41062,                 1.2007,                0.62912,                0.98832,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.1988,                0.64732,                0.99411,                0.84295,                0.63137,                0.70349,                0.41102,                 1.2001,                0.62734,                0.98809,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.1929,                0.64439,                0.99289,                0.84751,                0.63206,                0.70393,                0.41162,                 1.1991,                 0.6264,                0.98776,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.1942,                0.64368,                0.99437,                0.84818,                0.63265,                0.70424,                0.41234,                 1.1981,                0.62492,                0.98754,              0.0003565,              0.0003565,              0.0003565
                     67,                  1.189,                0.63986,                0.99063,                 0.8479,                0.63157,                0.70504,                0.41322,                 1.1972,                 0.6238,                0.98732,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.1897,                0.63979,                0.99221,                0.84858,                0.63141,                0.70559,                0.41343,                 1.1966,                 0.6228,                0.98741,              0.0003367,              0.0003367,              0.0003367
                     69,                  1.185,                 0.6363,                0.98939,                0.85102,                0.63105,                0.70591,                0.41382,                 1.1957,                0.62185,                0.98717,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1796,                0.63164,                0.98758,                0.85282,                0.62809,                0.71203,                 0.4171,                 1.1949,                0.62069,                  0.987,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.1796,                0.63272,                0.98877,                0.85408,                0.62514,                0.71259,                0.41755,                 1.1939,                0.61983,                0.98677,               0.000307,               0.000307,               0.000307
                     72,                  1.173,                0.62944,                0.98615,                0.85773,                0.62403,                0.71291,                0.41801,                  1.193,                0.61824,                0.98647,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.1714,                0.62602,                0.98392,                0.85587,                0.62781,                0.71265,                0.41862,                  1.192,                0.61759,                0.98613,              0.0002872,              0.0002872,              0.0002872
